review_date,ticker,action,conviction,conviction_bucket,rationale
2025-08-14,INTC,initiate,50.0,medium,"All entry gates passed — conviction 50, thesis forming"
2025-08-21,INTC,hold,0.0,low,"Hold — conviction 50, thesis strengthening"
2025-08-28,INTC,hold,0.0,low,"Hold — conviction 50, thesis stable"
2025-09-04,INTC,hold,0.0,low,"Hold — conviction 50, thesis strengthening"
2025-09-11,INTC,hold,0.0,low,"Hold — conviction 50, thesis stable"
2025-09-18,INTC,hold,0.0,low,"Hold — conviction 50, thesis strengthening"
2025-09-25,INTC,hold,0.0,low,"Hold — conviction 50, thesis strengthening"
2025-10-02,INTC,hold,0.0,low,"Hold — conviction 50, thesis strengthening"
2025-10-09,INTC,hold,0.0,low,"Hold — conviction 50, thesis strengthening"
2025-10-16,INTC,hold,0.0,low,"Hold — conviction 50, thesis strengthening"
2025-10-23,INTC,hold,0.0,low,"Hold — conviction 50, thesis stable"
2025-10-30,INTC,hold,0.0,low,"Hold — conviction 50, thesis stable"
2025-11-06,INTC,hold,0.0,low,"Hold — conviction 51, thesis strengthening"
2025-11-13,INTC,hold,0.0,low,"Hold — conviction 51, thesis strengthening"
2025-11-20,INTC,hold,0.0,low,"Hold — conviction 51, thesis strengthening"
2025-11-27,INTC,hold,0.0,low,"Hold — conviction 51, thesis strengthening"
2025-12-04,INTC,hold,0.0,low,"Hold — conviction 51, thesis strengthening"
2025-12-11,INTC,hold,0.0,low,"Hold — conviction 51, thesis strengthening"
2025-12-18,INTC,hold,0.0,low,"Hold — conviction 51, thesis strengthening"
2025-12-25,INTC,hold,0.0,low,"Hold — conviction 51, thesis strengthening"
2026-01-01,INTC,hold,0.0,low,"Hold — conviction 52, thesis strengthening"
